freq_hz,magnitude
4.505496510081744788e+01,1.728354230290769067e+00
4.515227604056003230e+01,5.485446183753347249e+00
4.524958698030262383e+01,1.413704486244921732e+00
4.534689792004520825e+01,7.900511550280606698e+00
4.544420885978779268e+01,6.089661211733625734e+00
4.554151979953037710e+01,1.906374512186921555e+00
4.563883073927296863e+01,1.249920088490545567e+01
4.573614167901555305e+01,2.089556601964364990e+00
4.583345261875813748e+01,8.609396669696037563e+00
4.593076355850072900e+01,1.049026529093968740e+01
4.602807449824331343e+01,6.739106428344875610e+00
4.612538543798589785e+01,1.117412135453198019e+01
4.622269637772848228e+01,3.490941232394428440e+00
4.632000731747107380e+01,6.710092977049945340e+00
4.641731825721365823e+01,8.300228830652132572e+00
4.651462919695624265e+01,3.003810907613184256e+00
4.661194013669882708e+01,1.865071985902645668e+00
4.670925107644141860e+01,3.141667334407175716e+00
4.680656201618400303e+01,5.054765596345407452e+00
4.690387295592658745e+01,2.305819141478451240e+00
4.700118389566917187e+01,2.626873404584061600e+00
4.709849483541176340e+01,1.453625297472075806e+00
4.719580577515434783e+01,4.754192870826536854e+00
4.729311671489693225e+01,3.798705075635469885e+00
4.739042765463951667e+01,5.112860067055405189e+00
4.748773859438210820e+01,3.469234060976752687e+00
4.758504953412469263e+01,2.663655324100960620e+00
4.768236047386727705e+01,5.426483937002103630e+00
4.777967141360986858e+01,1.416219651565231441e+00
4.787698235335245300e+01,2.145092899157344135e+00
4.797429329309503743e+01,1.529824088982283392e+00
4.807160423283762185e+01,3.033424310620185693e+00
4.816891517258021338e+01,2.752887793609391398e+00
4.826622611232279780e+01,4.291205758767427270e+00
4.836353705206538223e+01,1.604071829455441689e+00
4.846084799180796665e+01,4.477730558913803449e+00
4.855815893155055818e+01,4.888808893225008667e+00
4.865546987129314260e+01,5.085988015939729934e+00
4.875278081103572703e+01,6.033781226109645068e+00
4.885009175077831145e+01,4.069381141444422312e+00
4.894740269052090298e+01,5.211226084208748333e+00
4.904471363026348740e+01,5.937451140103480185e+00
4.914202457000607183e+01,4.282601427590810417e+00
4.923933550974865625e+01,2.430226861830019125e+00
4.933664644949124778e+01,3.702050793270492690e+00
4.943395738923383220e+01,4.527947947634338277e+00
4.953126832897641663e+01,6.757250124479317055e-01
4.962857926871900105e+01,1.601760413086398271e+00
4.972589020846159258e+01,2.725884758809448360e+00
4.982320114820417700e+01,1.853179557548243483e+00
4.992051208794676143e+01,1.627392287949737781e+00
5.001782302768935295e+01,3.201861811372435529e+00
5.011513396743193738e+01,2.332693053052044885e+00
5.021244490717452180e+01,1.757013674321687757e+00
5.030975584691710623e+01,3.196990588780408427e+00
5.040706678665969775e+01,2.064428339926443368e+00
5.050437772640228218e+01,2.788887984795372255e+00
5.060168866614486660e+01,2.329093104487575783e+00
5.069899960588745103e+01,5.240909463695871295e+00
