freq_hz,magnitude
2.433715049587400614e+01,6.025673760266549834e+02
2.447235688751775129e+01,4.848245125593830949e+02
2.460756327916149644e+01,3.167983252074008647e+02
2.474276967080524159e+01,4.101268772777579557e+02
2.487797606244898674e+01,2.979024005985660892e+02
2.501318245409272834e+01,2.446948231407232299e+02
2.514838884573647348e+01,3.573223201404729252e+02
2.528359523738021863e+01,2.340582489122195682e+02
2.541880162902396378e+01,3.210479648343497274e+02
2.555400802066770893e+01,1.035402320989624343e+02
2.568921441231145053e+01,1.806757945385043058e+02
2.582442080395519568e+01,2.456940460285465235e+02
2.595962719559894083e+01,1.470722080076782561e+02
2.609483358724268598e+01,2.639391794877030861e+02
2.623003997888643113e+01,1.309878013944629629e+02
2.636524637053017273e+01,2.119572741861977931e+02
2.650045276217391788e+01,2.208826212279337824e+02
2.663565915381766303e+01,3.388239535416548733e+02
2.677086554546140817e+01,1.879037251044643426e+02
2.690607193710515332e+01,4.975782579039112647e+02
2.704127832874889492e+01,5.064120011077372396e+02
2.717648472039264007e+01,1.156691452030202072e+02
2.731169111203638522e+01,4.279005854099764861e+02
2.744689750368013037e+01,2.179821282575974806e+02
2.758210389532387552e+01,1.513506148654140873e+02
2.771731028696762067e+01,7.707053847428176141e+01
2.785251667861136227e+01,8.544536557979799341e+01
2.798772307025510742e+01,3.786202493578437611e+02
2.812292946189885257e+01,3.192508894894266973e+02
2.825813585354259772e+01,4.006940854020242000e+02
2.839334224518634286e+01,5.204666985322692199e+02
2.852854863683008446e+01,5.419021207970698697e+02
2.866375502847382961e+01,1.657163488450420061e+02
2.879896142011757476e+01,6.887332756492736507e+02
2.893416781176131991e+01,3.757794416677288609e+02
2.906937420340506506e+01,1.007790796313742817e+03
2.920458059504881021e+01,8.698367878869999004e+02
2.933978698669255181e+01,5.337571598419172005e+02
2.947499337833629696e+01,1.196108845952266847e+03
2.961019976998004211e+01,1.607937302503396950e+03
2.974540616162378726e+01,1.514119622127438788e+03
2.988061255326753241e+01,2.299036287901337801e+03
3.001581894491127400e+01,2.336370029107019036e+03
3.015102533655501915e+01,4.154037587745656310e+03
3.028623172819876430e+01,8.721698728979081352e+03
3.042143811984250945e+01,4.786332435923344747e+03
3.055664451148625460e+01,2.985422403643172856e+03
3.069185090312999620e+01,1.939987935804927247e+03
3.082705729477374135e+01,2.878133543585487928e+02
3.096226368641748650e+01,5.433769291610014989e+02
3.109747007806123165e+01,1.692427314515120713e+02
3.123267646970497680e+01,1.097272220136802048e+02
3.136788286134871839e+01,3.862259534428150687e+02
3.150308925299246354e+01,7.791854125577233390e+02
3.163829564463620869e+01,1.006003722932883989e+03
3.177350203627995384e+01,5.776152752079115089e+02
3.190870842792369899e+01,5.349464393597292400e+01
3.204391481956744059e+01,3.619925982490825618e+02
3.217912121121118929e+01,4.923751221020277740e+02
3.231432760285493089e+01,6.721080057603554678e+02
3.244953399449867959e+01,2.685825217898146775e+02
3.258474038614242119e+01,5.937650629521340306e+02
3.271994677778616278e+01,5.465642925079007455e+02
3.285515316942991149e+01,4.705896894660165231e+02
3.299035956107365308e+01,2.462884966622189324e+02
3.312556595271740179e+01,2.686365703827200946e+02
3.326077234436114338e+01,6.263773720430586991e+02
3.339597873600488498e+01,3.454491236135109489e+02
3.353118512764863368e+01,2.293316749771622938e+02
3.366639151929237528e+01,2.146488681306814783e+02
3.380159791093612398e+01,3.256067916562153073e+02
3.393680430257986558e+01,4.516991700241506464e+02
3.407201069422360717e+01,4.250547797850713323e+02
3.420721708586735588e+01,3.553775418759026365e+02
3.434242347751109747e+01,1.276972320039126032e+02
3.447762986915484618e+01,2.875549934255017774e+02
3.461283626079858777e+01,2.525612623672746793e+02
3.474804265244232937e+01,1.560694980678500201e+02
3.488324904408607807e+01,4.487165602803625575e+02
3.501845543572981967e+01,4.570804752451476247e+02
3.515366182737356837e+01,2.092604512454981318e+02
3.528886821901730997e+01,4.228097386630741994e+02
3.542407461066105157e+01,4.468541490684923474e+02
3.555928100230480027e+01,4.257988831947902213e+02
